date,player,market,line,pick,projection,actual,margin,result,flags,p_model,p_market,decimal_odds,stake_pct,realized_profit
2026-04-20,Christian Braun,PTS+AST,13.5,OVER,16.844,21.0,,HIT,LOW-PO,0.718,,,,
2026-04-20,Sandro Mamukelashvili,REB,4.5,UNDER,3.532,10.0,,MISS,LOW-PO ROT-RISK,0.703,,,,
2026-04-20,Karl-Anthony Towns,PTS+AST,23.5,OVER,26.844,20.0,,MISS,LOW-PO,0.703,,,,
2026-04-20,Sam Merrill,PRA,12.5,OVER,17.076,7.0,,MISS,LOW-PO,0.701,,,,
2026-04-20,Donovan Mitchell,PTS+AST,32.0,OVER,36.312,35.0,,HIT,LOW-PO HI-USG,0.697,,,,
2026-04-20,Dyson Daniels,REB+AST,12.5,OVER,14.436,6.0,,MISS,LOW-PO,0.696,,,,
2026-04-20,James Harden,PTS,19.5,OVER,24.076,28.0,,HIT,LOW-PO,0.683,,,,
2026-04-20,Max Strus,REB,3.5,OVER,4.204,3.0,,MISS,LOW-PO,0.679,,,,
2026-04-20,Nikola Jokic,REB,13.5,OVER,15.084,15.0,,HIT,LOW-PO,0.677,,,,
2026-04-20,Collin Murray-Boyles,REB,4.5,OVER,5.1160000000000005,7.0,,HIT,LOW-PO,0.673,,,,
2026-04-20,Nickeil Alexander-Walker,PTS,20.5,OVER,25.34,9.0,,MISS,LOW-PO,0.667,,,,
2026-04-20,Donte DiVincenzo,3PM,2.5,OVER,3.116,4.0,,HIT,LOW-PO,0.665,,,,
2026-04-20,Dean Wade,REB,3.5,UNDER,2.884,5.0,,MISS,LOW-PO ROT-RISK,0.664,,,,
2026-04-20,Jalen Johnson,REB,9.5,OVER,10.468,8.0,,MISS,LOW-PO,0.662,,,,
2026-04-20,Jalen Brunson,REB+AST,10.5,OVER,11.995999999999999,9.0,,MISS,LOW-PO,0.657,,,,
2026-04-20,Jarrett Allen,PTS+AST,14.5,OVER,17.491999999999997,11.0,,MISS,LOW-PO,0.655,,,,
2026-04-20,Aaron Gordon,REB+AST,8.5,OVER,9.995999999999999,11.0,,HIT,LOW-PO,0.655,,,,
2026-04-20,Donte DiVincenzo,REB+AST,6.5,UNDER,5.356000000000001,13.0,,MISS,LOW-PO,0.648,,,,
2026-04-20,Dyson Daniels,AST,4.5,OVER,5.82,2.0,,MISS,LOW-PO,0.639,,,,
2026-04-20,Cameron Johnson,AST,2.5,OVER,3.38,2.0,,MISS,LOW-PO,0.637,,,,
2026-04-20,OG Anunoby,REB+AST,7.5,OVER,8.644,10.0,,HIT,LOW-PO,0.616,,,,
2026-04-20,Bruce Brown,REB,3.5,OVER,4.204,3.0,,MISS,LOW-PO,0.614,,,,
2026-04-20,Jamal Murray,REB,4.5,OVER,5.1160000000000005,7.0,,HIT,LOW-PO,0.612,,,,
2026-04-20,Christian Braun,PTS,11.5,OVER,14.668,16.0,,HIT,LOW-PO,0.607,,,,
2026-04-20,Karl-Anthony Towns,AST,3.5,OVER,4.644,2.0,,MISS,LOW-PO,0.592,,,,
2026-04-20,Rudy Gobert,PTS,11.5,UNDER,9.475999999999999,2.0,,HIT,LOW-PO LO-USG,0.58,,,,
2026-04-20,Jalen Brunson,AST,7.5,OVER,8.644,7.0,,MISS,LOW-PO,0.572,,,,
2026-04-20,Ayo Dosunmu,REB,2.5,OVER,5.0520000000000005,4.0,,HIT,⚠SUSP-102% LOW-PO,0.572,,,,
2026-04-20,Naz Reid,AST,1.5,UNDER,1.236,1.0,,HIT,NO-PO ⚠PO-ROLE LOW-LINE,0.568,,,,
2026-04-20,Jarrett Allen,AST,1.5,UNDER,0.8840000000000001,1.0,,HIT,⚠SUSP-41% LOW-PO LOW-LINE,0.563,,,,
2026-04-20,Bruce Brown,PTS,5.5,OVER,9.372,7.0,,HIT,⚠SUSP-70% LOW-PO,0.554,,,,
2026-04-20,Scottie Barnes,AST,5.5,OVER,8.315999999999999,5.0,,MISS,⚠SUSP-51% LOW-PO,0.529,,,,
2026-04-20,Aaron Gordon,AST,2.5,OVER,4.172000000000001,4.0,,HIT,⚠SUSP-67% LOW-PO,0.524,,,,
2026-04-20,Ja'Kobe Walter,PTS,7.5,OVER,9.700000000000001,14.0,,HIT,LOW-PO,0.506,,,,
2026-04-20,Keon Ellis,PTS,3.5,OVER,7.284,0.0,,MISS,⚠SUSP-108% NO-PO ⚠PO-ROLE LO-USG,0.5,,,,
2026-04-20,Collin Murray-Boyles,PTS,7.5,OVER,11.284,17.0,,HIT,⚠SUSP-50% LOW-PO,0.5,,,,
